410458261	20140219	201402	2014	2014.1342											MDV	MALE	MDV								0	043	043	04	1	2.8	6	1	6	-2.12765957446808	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20150219014500	http://newsroom.ucla.edu/in-the-news/ucla-in-the-news-february-18-2015
410458262	20140219	201402	2014	2014.1342											MNCDEU	DEUTSCHE BANK	DEU					MNC			1	050	050	05	1	3.5	5	1	5	2.06540447504303	0								3	Reno, Nevada, United States	US	USNV	NV031	39.5296	-119.814	861100	3	Reno, Nevada, United States	US	USNV	NV031	39.5296	-119.814	861100	20150219014500	http://lasvegassun.com/news/2015/feb/18/cosmopolitans-new-owner-culinary-signal-strife-ove/
410458263	20140219	201402	2014	2014.1342	AFG	AFGHANISTAN	AFG								CVL	CIVILIAN						CVL			1	190	190	19	4	-10.0	5	1	5	-10.1522842639594	1	Afghanistan	AF	AF		33	65	AF	1	Afghanistan	AF	AF		33	65	AF	1	Afghanistan	AF	AF		33	65	AF	20150219014500	http://www.dawn.com/news/1164520/over-10000-civilians-killed-in-afghanistan-last-year-un
410458264	20140219	201402	2014	2014.1342	CAN	CANADIAN	CAN								KOR	SOUTH KOREA	KOR								0	060	060	06	2	6.0	2	1	2	-0.81466395112016	1	Canada	CA	CA		60	-95	CA	1	Canada	CA	CA		60	-95	CA	1	Canada	CA	CA		60	-95	CA	20150219014500	http://www.winnipegfreepress.com/arts-and-life/life/greenpage/canadian-cattlemens-association-says-alberta-bse-cow-was-born-on-alberta-farm--292247921.html
410458265	20140219	201402	2014	2014.1342	CAN	CANADIAN	CAN								KOR	SOUTH KOREA	KOR								0	060	060	06	2	6.0	2	1	2	-0.81466395112016	1	Canada	CA	CA		60	-95	CA	1	South Korea	KS	KS		37	127.5	KS	1	Canada	CA	CA		60	-95	CA	20150219014500	http://www.winnipegfreepress.com/arts-and-life/life/greenpage/canadian-cattlemens-association-says-alberta-bse-cow-was-born-on-alberta-farm--292247921.html
410458266	20140219	201402	2014	2014.1342	CANBUS	CANADIAN	CAN					BUS			KOR	SOUTH KOREA	KOR								0	060	060	06	2	6.0	6	1	6	-0.81466395112016	1	Canada	CA	CA		60	-95	CA	1	Canada	CA	CA		60	-95	CA	1	Canada	CA	CA		60	-95	CA	20150219014500	http://www.winnipegfreepress.com/arts-and-life/life/greenpage/canadian-cattlemens-association-says-alberta-bse-cow-was-born-on-alberta-farm--292247921.html
410458267	20140219	201402	2014	2014.1342	CHE	SWITZERLAND	CHE																		1	013	013	01	1	0.4	4	1	4	0.90497737556561	4	Geneva, Genè, Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	0								4	Geneva, Genè, Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	20150219014500	http://www.starbeacon.com/news/motorcycle-club-donates-to-geneva-food-pantry/article_80ee3c4e-b7b3-11e4-a5a7-d3fc7b200084.html
410458268	20140219	201402	2014	2014.1342	DEU	GERMAN	DEU																		1	010	010	01	1	0.0	8	1	8	-4.99537465309899	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	0								4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20150219014500	http://live.world-citizenship.org/wp-archive/7521
410458269	20140219	201402	2014	2014.1342	EDU	SCHOOL						EDU													0	020	020	02	1	3.0	10	1	10	-2.7382256297919	0								0								0								20150219014500	http://www.baltimoresun.com/news/maryland/education/bs-md-schools-budget-folo-20150218-story.html
410458270	20140219	201402	2014	2014.1342	EDU	SCHOOL						EDU													0	030	030	03	1	4.0	10	1	10	-2.7382256297919	0								0								0								20150219014500	http://www.baltimoresun.com/news/maryland/education/bs-md-schools-budget-folo-20150218-story.html
410458271	20140219	201402	2014	2014.1342	EDU	STUDENT						EDU													1	141	141	14	3	-6.5	5	1	5	-2.0979020979021	1	Nigeria	NI	NI		10	8	NI	0								1	Nigeria	NI	NI		10	8	NI	20150219014500	http://nationalmirroronline.net/new/unijos-surcharges-students-n6000-for-damages/
410458272	20140219	201402	2014	2014.1342	GOV	STATE ATTORNEY GENERAL						GOV			JUD	CIRCUIT COURT OF APPEALS						JUD			1	020	020	02	1	3.0	6	1	6	0.434782608695651	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20150219014500	http://djournal.com/news/mississippi-appeals-blocked-abortion-law-u-s-supreme-court/
